customer_id,customer_number,first_name,last_name,full_name,gender,date_of_birth,email,phone_number,street_address,city,state_province,postal_code,country_code,country_name,region,preferred_language,customer_segment,loyalty_tier,registration_date,acquisition_year,customer_type,is_active,source_system,created_at,updated_at
00373a18-36bb-4e71-b5b4-0ac8ed893901,CUST-2019-CH-000088,Nicola,Stutz,Nicola Stutz,Male,1983-06-22,nicola.stutz726@yahoo.com,081 983 60 95,Staufferstrasse 63,Opfikon,St. Gallen,9833,CH,Switzerland,EMEA,German,Consumer,None,2019-03-21,2019,RETURNING,False,MDM,2019-03-21,2026-04-17 15:58:36.371533
d343698d-3de4-4bf9-b95e-5299101e0520,CUST-2019-CH-000153,Ganimete,Stöckli,Ganimete Stöckli,Female,1988-08-11,ganimete.stckli506@yahoo.com,044 335 38 97,Siegriststrasse 383,Dietikon,Kreuzlingen,7298,CH,Switzerland,EMEA,German,Education,Silver,2019-05-23,2019,RETURNING,True,MDM,2019-05-23,2026-04-17 15:58:36.371538
7f569d04-bc35-43d6-b479-6fbe398aedd1,CUST-2020-CH-000015,Hassan,Lutz,Hassan Lutz,Female,1996-11-05,hassan.lutz@aol.com,022 696 63 71,Schochstrasse 463,Uster,Yverdon-les-Bains,9630,CH,Switzerland,EMEA,German,Consumer,Gold,2020-04-07,2020,RETURNING,True,MDM,2020-04-07 00:00:00,2026-04-17 15:58:36.371540
bc04e67b-845c-4652-9cdb-404944f99946,CUST-2019-CH-000058,Joshua,Kägi,Joshua Kägi,Male,1972-01-12,joshua.kgi@hotmail.com,091 848 65 96,Wolfstrasse 8,Montreux,Val-de-Travers,5260,CH,Switzerland,EMEA,German,Business,None,2019-03-20,2019,RETURNING,True,MDM,2019-03-20,2026-04-17 15:58:36.371542
5de74f84-35c1-4518-a06a-4f7278df4d70,CUST-2019-CH-000084,Arlind,Fuchs,Arlind Fuchs,Male,1971-05-11,arlind.fuchs@zoho.com,027 364 63 05,Zehnderstrasse 643,Glarus,Bulle,9125,CH,Switzerland,EMEA,German,Education,Platinum,2019-04-02,2019,RETURNING,True,MDM,2019-04-02,2026-04-17 15:58:36.371543
11764d78-62d2-4907-8bc4-751ac79214d9,CUST-2019-CH-000026,Neo,Scheidegger,Neo Scheidegger,Male,1959-08-16,neo.scheidegger@yahoo.com,061 184 60 07,Gloorstrasse 6,Pully,Altstätten,6269,CH,Switzerland,EMEA,German,Education,None,2019-01-11,2019,RETURNING,True,MDM,2019-01-11,2026-04-17 15:58:36.371545
3ed984c5-c4c8-4aa1-885e-2a119e8b967a,CUST-2019-CH-000206,Wolfgang,Erni,Wolfgang Erni,Male,2005-09-23,wolfgang.erni@hotmail.com,033 310 15 62,Kohlerstrasse 17,Prilly,Glarus,5271,CH,Switzerland,EMEA,German,Consumer,Gold,2019-07-02,2019,RETURNING,True,MDM,2019-07-02,2026-04-17 15:58:36.371547
b075ee1d-6e5a-4f91-a9aa-e9c01a6328df,CUST-2019-CH-000156,Muriel,Hafner,Muriel Hafner,Female,1977-06-23,muriel.hafner@zoho.com,+41 31 883 77 58,Steinmannstrasse 873,Montreux,Schwyz,4990,CH,Switzerland,EMEA,German,Consumer,None,2019-02-25,2019,RETURNING,True,MDM,2019-02-25,2026-04-17 15:58:36.371549
1e64fb5e-b954-415d-8698-1dae90108b82,CUST-2019-CH-000071,Melisa,Meier,Melisa Meier,Female,1951-03-16,melisa.meier140@outlook.com,+41 32 718 45 18,Ackermannstrasse 89,Sarnen,Zürich,1508,CH,Switzerland,EMEA,German,Consumer,None,2019-10-02,2019,RETURNING,True,MDM,2019-10-02,2026-04-17 15:58:36.371551
53291933-e46e-4584-aea7-a1428ad5fc0f,CUST-2019-CH-000164,Luise,Baumann,Luise Baumann,Male,1992-07-23,luise.baumann@outlook.com,044 599 12 22,Bärstrasse 15,Rheinfelden,Versoix,9480,CH,Switzerland,EMEA,German,Consumer,None,2019-03-12,2019,RETURNING,True,MDM,2019-03-12,2026-04-17 15:58:36.371552
ad298dc0-4575-4e31-ab1d-138ebabac639,CUST-2020-CH-000054,Christel,Betschart,Christel Betschart,Male,1990-03-06,christel.betschart@msn.com,+41 41 625 65 35,Staubstrasse 84,Bernex,Thônex,2990,CH,Switzerland,EMEA,German,Consumer,Silver,2020-10-17,2020,RETURNING,True,MDM,2020-10-17 00:00:00,2026-04-17 15:58:36.371554
b09ce94e-71bd-4162-bd69-6636610a837e,CUST-2019-CH-000272,Estelle,Hirt,Estelle Hirt,Male,1957-09-24,estelle.hirt612@outlook.com,044 927 92 17,Bühlerstrasse 81,Spreitenbach,Villars-sur-Glâne,3733,CH,Switzerland,EMEA,German,Education,Platinum,2019-04-21,2019,RETURNING,True,MDM,2019-04-21,2026-04-17 15:58:36.371556
03366924-c046-426e-b583-162c94e38cad,CUST-2019-CH-000111,Pavel,Steiger,Pavel Steiger,Female,2003-08-30,pavel.steiger488@aol.com,043 413 32 36,Wyssstrasse 65,Bellinzona,Grenchen,8824,CH,Switzerland,EMEA,German,Consumer,None,2019-08-01,2019,RETURNING,True,MDM,2019-08-01,2026-04-17 15:58:36.371558
21a59d04-fec4-4ae0-ae7a-48a6d866b490,CUST-2020-CH-000094,Michelle,Wolf,Michelle Wolf,Male,1953-04-19,michelle.wolf@hotmail.com,+41 44 277 71 39,Forsterstrasse 7,Wallisellen,Bulle,4230,CH,Switzerland,EMEA,German,Consumer,None,2020-01-16,2020,RETURNING,True,MDM,2020-01-16 00:00:00,2026-04-17 15:58:36.371559
